id_educ,Year,PrimaryClassEnrollment(%),SecondaryClassEnrollment(%),id_country
271,2003,99.7970428466797,27.031120300293,23
272,2004,103.722259521484,28.888599395752,23
273,2005,100.838829040527,,23
274,2006,101.293403625488,,23
275,2007,,,23
276,2008,113.18830871582,,23
277,2009,118.433967590332,,23
278,2010,120.152008056641,,23
279,2011,122.726043701172,49.1275901794434,23
280,2012,127.215393066406,,23
281,2013,128.73713684082,55.9660911560059,23
282,2014,129.597244262695,56.2371711730957,23
283,2015,132.46826171875,58.8473701477051,23
284,2016,,,23
285,2002,101.509201049805,78.0742263793945,24
286,2003,101.624656677246,79.0366363525391,24
287,2004,100.396583557129,81.2965469360352,24
288,2005,99.1047286987305,80.8843536376953,24
289,2006,97.114387512207,77.6422119140625,24
290,2007,,,24
291,2008,,,24
292,2009,,,24
293,2010,92.2838897705078,78.7241592407227,24
294,2011,89.8326110839844,77.1428604125977,24
295,2012,87.5051879882813,75.2807006835938,24
296,2013,86.4513397216797,74.2486190795898,24
297,2014,87.4759979248047,72.622428894043,24
298,2015,90.3485794067383,71.5424118041992,24
299,2016,,,24
300,2002,81.5071105957031,,25
301,2003,84.6925430297852,,25
302,2004,88.3253021240234,,25
303,2005,91.1196365356445,44.1677703857422,25
304,2006,94.3017730712891,46.9132804870605,25
305,2007,97.2998886108398,50.9157600402832,25
306,2008,99.9651412963867,54.3400688171387,25
307,2009,103.81031036377,59.39453125,25
308,2010,106.537902832031,63.6136283874512,25
309,2011,108.369720458984,66.9461135864258,25
310,2012,108.497276306152,71.0329437255859,25
311,2013,102.720558166504,74.6758880615234,25
312,2014,100.221801757813,81.5959320068359,25
313,2015,97.8564224243164,82.9149703979492,25
314,2016,94.9757766723633,83.9763870239258,25
315,2002,117.908180236816,79.6290817260742,26
316,2003,116.176200866699,82.7163391113281,26
317,2004,115.543937683105,85.8132019042969,26
318,2005,114.942451477051,86.9914398193359,26
319,2006,113.41544342041,86.3932723999023,26
320,2007,112.648498535156,86.0638198852539,26
321,2008,111.520126342773,85.5793533325195,26
322,2009,108.038787841797,84.0427703857422,26
323,2010,104.707611083984,83.13427734375,26
324,2011,101.456832885742,82.3187637329102,26
325,2012,99.9610900878906,82.8837890625,26
326,2013,98.6430282592773,84.6754684448242,26
327,2014,97.3594131469727,85.3800811767578,26
328,2015,97.1381072998047,86.4050064086914,26
329,2016,97.701789855957,86.4552307128906,26
330,2002,,,28
331,2003,,,28
332,2004,,,28
333,2005,,,28
334,2006,,,28
335,2007,,,28
336,2008,,,28
337,2009,,,28
338,2010,,,28
339,2011,,,28
340,2012,,,28
341,2013,,,28
342,2014,,,28
343,2015,,,28
344,2016,,,28
345,2002,109.472610473633,77.9376373291016,29
346,2003,109.1650390625,78.9608764648438,29
347,2004,108.537948608398,80.6562118530273,29
348,2005,108.674018859863,81.2032165527344,29
349,2006,109.107208251953,82.8076629638672,29
350,2007,108.238380432129,83.2577667236328,29
351,2008,108.176200866699,78.4158325195313,29
352,2009,109.396293640137,,29
353,2010,,,29
354,2011,,,29
355,2012,110.52237701416,,29
356,2013,111.142158508301,,29
357,2014,105.362121582031,,29
358,2015,,,29
359,2016,,,29
360,2002,146.827789306641,109.994216918945,31
361,2003,140.544494628906,101.868667602539,31
362,2004,133.696304321289,102.371032714844,31
363,2005,133.262161254883,101.2919921875,31
364,2006,,,31
365,2007,128.179794311523,95.1699981689453,31
366,2008,132.055206298828,96.7201232910156,31
367,2009,131.165161132813,96.6654815673828,31
368,2010,,,31
369,2011,132.496612548828,95.2633819580078,31
370,2012,130.376022338867,95.5837326049805,31
371,2013,109.770492553711,101.868072509766,31
372,2014,111.063873291016,101.950897216797,31
373,2015,115.340789794922,99.6509704589844,31
374,2016,,,31
375,2002,107.723686218262,86.5379867553711,33
376,2003,110.647972106934,88.372200012207,33
377,2004,111.046730041504,92.7991409301758,33
378,2005,110.640342712402,96.602409362793,33
379,2006,110.33805847168,97.4701614379883,33
380,2007,109.757667541504,95.8562622070313,33
381,2008,107.722610473633,96.1045913696289,33
382,2009,107.007537841797,98.2822723388672,33
383,2010,106.547302246094,99.1776580810547,33
384,2011,106.863456726074,101.235122680664,33
385,2012,105.926513671875,105.837677001953,33
386,2013,105.977439880371,104.304176330566,33
387,2014,105.20142364502,98.938117980957,33
388,2015,105.126602172852,95.8300399780273,33
389,2016,106.64013671875,93.3741607666016,33
390,2002,103.392028808594,95.3034820556641,34
391,2003,104.62100982666,86.7608489990234,34
392,2004,105.097312927246,88.74658203125,34
393,2005,103.303382873535,89.2352600097656,34
394,2006,103.341186523438,89.7449798583984,34
395,2007,106.805038452148,90.2446136474609,34
396,2008,108.890701293945,89.428840637207,34
397,2009,109.781661987305,88.7229232788086,34
398,2010,108.533340454102,90.2020263671875,34
399,2011,103.965240478516,93.738639831543,34
400,2012,100.931037902832,94.6528472900391,34
401,2013,99.1309127807617,101.427612304688,34
402,2014,98.5419006347656,104.163619995117,34
403,2015,97.0700225830078,102.344497680664,34
404,2016,94.8479232788086,99.9003219604492,34
405,2002,47.0575714111328,,35
406,2003,49.3110389709473,12.0750703811646,35
407,2004,53.8744010925293,13.250789642334,35
408,2005,58.3271903991699,14.2987804412842,35
409,2006,62.0652084350586,15.0407495498657,35
410,2007,67.6690979003906,16.1669902801514,35
411,2008,73.2238388061523,18.9150905609131,35
412,2009,77.6148223876953,20.2942600250244,35
413,2010,78.0141677856445,21.9026908874512,35
414,2011,81.5949096679688,23.8359298706055,35
415,2012,84.0926666259766,25.9331092834473,35
416,2013,85.7185821533203,28.3660297393799,35
417,2014,87.3381118774414,30.3541507720947,35
418,2015,88.3663330078125,33.7187881469727,35
419,2016,91.11083984375,35.7871513366699,35
420,2002,67.0253524780273,10.7033596038818,36
421,2003,72.6912384033203,10.8745698928833,36
422,2004,77.8043899536133,12.3733501434326,36
423,2005,82.4452819824219,13.4712800979614,36
424,2006,104.535308837891,14.7179899215698,36
425,2007,116.600448608398,15.6633501052856,36
426,2008,124.14427947998,,36
427,2009,133.045394897461,20.7541007995605,36
428,2010,139.34765625,23.9293804168701,36
429,2011,143.913711547852,26.7403602600098,36
430,2012,142.703704833984,29.2979202270508,36
431,2013,140.344650268555,34.0104598999023,36
432,2014,137.898849487305,40.0777816772461,36
433,2015,134.178039550781,45.1060485839844,36
434,2016,130.915283203125,48.3578491210938,36
435,2002,129.481414794922,22.9321002960205,37
436,2003,131.515274047852,27.5087604522705,37
437,2004,131.968444824219,31.3285598754883,37
438,2005,130.929870605469,,37
439,2006,128.863983154297,39.7483787536621,37
440,2007,127.879783630371,42.7013816833496,37
441,2008,123.787086486816,45.2270393371582,37
442,2009,123.311500549316,,37
443,2010,123.865371704102,,37
444,2011,122.171058654785,,37
445,2012,121.817268371582,,37
446,2013,123.476348876953,,37
447,2014,116.833480834961,,37
448,2015,117.104217529297,,37
449,2016,110.21452331543,,37
450,2002,103.047027587891,28.8658599853516,38
451,2003,103.225578308105,30.5043392181396,38
452,2004,107.871322631836,27.2062702178955,38
453,2005,105.917327880859,27.7435302734375,38
454,2006,104.816627502441,24.1697406768799,38
455,2007,106.826202392578,33.2029914855957,38
456,2008,106.96159362793,37.6399612426758,38
457,2009,108.961387634277,41.5665588378906,38
458,2010,110.932792663574,,38
459,2011,110.088912963867,49.6583404541016,38
460,2012,114.635818481445,53.0175018310547,38
461,2013,,54.8903198242188,38
462,2014,116.243202209473,59.1169204711914,38
463,2015,119.238357543945,60.6943283081055,38
464,2016,119.155067443848,61.7646484375,38
465,2002,,,39
466,2003,,,39
467,2004,98.0503463745117,,39
468,2005,96.9873733520508,100.985473632813,39
469,2006,98.5575180053711,101.350219726563,39
470,2007,98.716796875,101.60945892334,39
471,2008,97.8389282226563,102.123390197754,39
472,2009,98.9050369262695,102.580520629883,39
473,2010,98.6086196899414,102.310913085938,39
474,2011,98.2281494140625,103.331428527832,39
475,2012,99.6285705566406,110.18563079834,39
476,2013,100.511039733887,109.852272033691,39
477,2014,101.771476745605,109.811660766602,39
478,2015,102.803031921387,110.887222290039,39
479,2016,101.433990478516,113.040092468262,39
480,2002,118.650581359863,68.1148071289063,40
481,2003,116.770568847656,68.5995330810547,40
482,2004,114.116828918457,67.7931518554688,40
483,2005,112.441230773926,70.9631805419922,40
484,2006,111.847602844238,82.578727722168,40
485,2007,109.619400024414,82.6777114868164,40
486,2008,107.454299926758,85.2253570556641,40
