"id_tour","id_pays","annee","inbound_arrival"
"792","26","2016","8800"
"793","199","2016","460000"
"794","200","2016","903000"
"795","201","2016","732000"
"796","202","2016","11800"
"797","204","2016","4488000"
"798","207","2016","32971000"
"799","208","2016","403000"
"800","209","2016","29000"
"801","210","2016","43000"
"802","213","2016","2310000"
"803","214","2016","6946000"
"804","215","2016","815000"
"805","217","2016","1600"
"806","218","2016","285000"
"807","219","2016","6952000"
"808","221","2016","53000"
"809","223","2016","29000"
"810","224","2016","260000"
"811","225","2016","4120000"
"812","226","2016","7083000"
"813","227","2016","218000"
"814","228","2016","79000"
"815","229","2016","900"
"816","230","2016","160000"
"817","231","2016","3716000"
"818","232","2016","2315000"
"819","233","2016","21719000"
"820","234","2016","43318000"
"821","242","2016","454000"
"822","236","2016","2022000"
"823","238","2016","44000"
"824","239","2016","700000"
"825","240","2016","975000"
"826","245","2016","61000"
"827","246","2016","163000"
"828","247","2016","1363000"
"829","1","2017","1062000"
"830","3","2017","34000"
"831","4","2017","2347000"
"832","5","2017","9000"
"833","6","2017","39000"
"834","8","2017","220000"
"835","9","2017","2289000"
"836","10","2017","12000"
"837","11","2017","619000"
"838","12","2017","3825000"
"839","13","2017","17173000"
"840","14","2017","576000"
"841","15","2017","1598000"
"842","16","2017","1396000"
"843","17","2017","156000"
"844","18","2017","442000"
"845","19","2017","363000"
"846","20","2017","5560000"
"847","21","2017","131000"
"848","22","2017","138000"
"849","23","2017","387000"
"850","24","2017","4800"
"851","25","2017","284000"
"852","26","2017","59000"
"853","27","2017","115000"
"854","28","2017","521000"
"855","30","2017","1991000"
"856","241","2017","219000"
"857","32","2017","119000"
"858","33","2017","3466000"
"859","34","2017","124000"
"860","35","2017","34000"
"861","36","2017","220000"
"862","37","2017","100000"
"863","38","2017","16968000"
"864","39","2017","28000"
"865","40","2017","361000"
"866","41","2017","26000"
"867","42","2017","19000"
"868","43","2017","1540000"
"869","44","2017","20034000"
"870","47","2017","1399000"
"871","48","2017","23000"
"872","49","2017","37000"
"873","51","2017","48000"
"874","52","2017","785000"
"875","53","2017","1485000"
"876","54","2017","742000"
"877","55","2017","224000"
"878","56","2017","2100000"
"879","57","2017","3381000"
"880","50","2017","35000"
"881","59","2017","2125000"
"882","60","2017","21000"
"883","61","2017","60000"
"884","62","2017","1776000"
"885","220","2017","14000"
"886","64","2017","2871000"
"887","65","2017","235000"
"888","68","2017","530000"
"889","212","2017","300000"
"890","69","2017","103000"
"891","72","2017","318000"
"892","73","2017","1779000"
"893","74","2017","60033000"
"894","75","2017","68000"
"895","76","2017","172000"
"896","78","2017","125000"
"897","79","2017","45000"
"898","80","2017","1067000"
"899","81","2017","14847000"
"900","82","2017","286000"
"901","84","2017","10130000"
"902","86","2017","108000"
"903","87","2017","640000"
"904","88","2017","1362000"
"905","89","2017","1448000"
"906","91","2017","12000"
"907","92","2017","7800"
"908","93","2017","106000"
"909","94","2017","145000"
"910","97","2017","271000"
"911","98","2017","8007000"
"912","99","2017","2878000"
"913","100","2017","190000"
"914","101","2017","2124000"
"915","102","2017","9963000"
"916","103","2017","882000"
"917","105","2017","4818000"
"918","107","2017","2215000"
"919","108","2017","31052000"
"920","109","2017","1147000"
"921","112","2017","1075000"
"922","113","2017","1471000"
"923","114","2017","918000"
"924","115","2017","3900"
"925","118","2017","72000"
"926","119","2017","36000"
"927","120","2017","60000"
"928","121","2017","539000"
"929","122","2017","450000"
"930","123","2017","87000"
"931","125","2017","56000"
"932","126","2017","59400"
"933","127","2017","650000"
"934","128","2017","768000"
"935","129","2017","4202000"
"936","131","2017","75000"
"937","132","2017","192000"
"938","133","2017","7469000"
"939","134","2017","315000"
"940","135","2017","42000"
"941","136","2017","1116000"
"942","137","2017","5500"
"943","138","2017","457000"
"944","139","2017","24000"
"945","140","2017","422000"
"946","142","2017","20241000"
"947","143","2017","17600"
"948","144","2017","32000"
"949","145","2017","233000"
"950","146","2017","165000"
"951","147","2017","136000"
"952","148","2017","17700"
"953","149","2017","2602000"
"954","150","2017","323000"
"955","151","2017","194000"
"956","152","2017","272000"
"957","154","2017","363000"
"958","155","2017","6574000"
"959","156","2017","86000"
"960","157","2017","1475000"
"961","158","2017","281000"
"962","159","2017","35000"
"963","160","2017","656000"
"964","161","2017","2200"
"965","130","2017","147000"
"966","163","2017","669000"
"967","164","2017","2880000"
"968","165","2017","279000"
"969","166","2017","378000"
"970","167","2017","53000"
"971","168","2017","220000"
"972","169","2017","345000"
"973","170","2017","42000"
"974","171","2017","438000"
"975","172","2017","479000"
"976","173","2017","1760000"
"977","175","2017","19215000"
"978","176","2017","9511000"
"979","177","2017","3131000"
"980","178","2017","309000"
"981","182","2017","304000"
"982","179","2017","2757000"
"983","180","2017","19457000"
"984","181","2017","104000"
"985","26","2017","10000"
"986","185","2017","79000"
"987","186","2017","231000"
"988","189","2017","60000"
"989","190","2017","68000"
"990","191","2017","28000"
"991","192","2017","6200"
"992","193","2017","3325000"
"993","194","2017","280000"
"994","195","2017","312000"
"995","195","2017","228000"
"996","196","2017","121000"
"997","197","2017","13800"
"998","198","2017","6070000"
"999","26","2017","8800"
"1000","199","2017","460000"
"1001","200","2017","903000"
"1002","201","2017","732000"
"1003","202","2017","11800"
"1004","204","2017","4488000"
"1005","207","2017","32971000"
"1006","208","2017","403000"
"1007","209","2017","29000"
"1008","210","2017","43000"
"1009","213","2017","2310000"
"1010","214","2017","6946000"
"1011","215","2017","815000"
"1012","217","2017","1600"
"1013","218","2017","285000"
"1014","219","2017","6952000"
"1015","221","2017","53000"
"1016","223","2017","29000"
"1017","224","2017","260000"
"1018","225","2017","4120000"
"1019","226","2017","7083000"
"1020","227","2017","218000"
"1021","228","2017","79000"
"1022","229","2017","900"
"1023","230","2017","160000"
"1024","231","2017","3716000"
"1025","232","2017","2315000"
"1026","233","2017","21719000"
"1027","234","2017","43318000"
"1028","242","2017","454000"
"1029","236","2017","2022000"
"1030","238","2017","44000"
"1031","239","2017","700000"
"1032","240","2017","975000"
"1033","245","2017","61000"
"1034","246","2017","163000"
"1035","247","2017","1363000"
"1036","1","2018","1062000"
"1037","3","2018","34000"
"1038","4","2018","2347000"
"1039","5","2018","9000"
"1040","6","2018","39000"
"1041","8","2018","220000"
"1042","9","2018","2289000"
"1043","10","2018","12000"
"1044","11","2018","619000"
"1045","12","2018","3825000"
"1046","13","2018","17173000"
"1047","14","2018","576000"
"1048","15","2018","1598000"
"1049","16","2018","1396000"
"1050","17","2018","156000"
"1051","18","2018","442000"
"1052","19","2018","363000"
"1053","20","2018","5560000"
"1054","21","2018","131000"
"1055","22","2018","138000"
"1056","23","2018","387000"
"1057","24","2018","4800"
"1058","25","2018","284000"
"1059","26","2018","59000"
"1060","27","2018","115000"
"1061","28","2018","521000"
"1062","30","2018","1991000"
"1063","241","2018","219000"
"1064","32","2018","119000"
"1065","33","2018","3466000"
"1066","34","2018","124000"
"1067","35","2018","34000"
"1068","36","2018","220000"
"1069","37","2018","100000"
"1070","38","2018","16968000"
"1071","39","2018","28000"
"1072","40","2018","361000"
"1073","41","2018","26000"
"1074","42","2018","19000"
"1075","43","2018","1540000"
"1076","44","2018","20034000"
"1077","47","2018","1399000"
"1078","48","2018","23000"
"1079","49","2018","37000"
"1080","51","2018","48000"
"1081","52","2018","785000"
"1082","53","2018","1485000"
"1083","54","2018","742000"
"1084","55","2018","224000"
"1085","56","2018","2100000"
"1086","57","2018","3381000"
"1087","50","2018","35000"
"1088","59","2018","2125000"
"1089","60","2018","21000"
"1090","61","2018","60000"
"1091","62","2018","1776000"
"1092","220","2018","14000"
"1093","64","2018","2871000"
"1094","65","2018","235000"
"1095","68","2018","530000"
"1096","212","2018","300000"
"1097","69","2018","103000"
"1098","72","2018","318000"
"1099","73","2018","1779000"
"1100","74","2018","60033000"
"1101","75","2018","68000"
"1102","76","2018","172000"
"1103","78","2018","125000"
"1104","79","2018","45000"
"1105","80","2018","1067000"
"1106","81","2018","14847000"
"1107","82","2018","286000"
"1108","84","2018","10130000"
"1109","86","2018","108000"
"1110","87","2018","640000"
"1111","88","2018","1362000"
"1112","89","2018","1448000"
"1113","91","2018","12000"
"1114","92","2018","7800"
"1115","93","2018","106000"
"1116","94","2018","145000"
"1117","97","2018","271000"
"1118","98","2018","8007000"
"1119","99","2018","2878000"
"1120","100","2018","190000"
"1121","101","2018","2124000"
"1122","102","2018","9963000"
"1123","103","2018","882000"
"1124","105","2018","4818000"
"1125","107","2018","2215000"
"1126","108","2018","31052000"
"1127","109","2018","1147000"
"1128","112","2018","1075000"
"1129","113","2018","1471000"
"1130","114","2018","918000"
"1131","115","2018","3900"
"1132","118","2018","72000"
"1133","119","2018","36000"
"1134","120","2018","60000"
"1135","121","2018","539000"
"1136","122","2018","450000"
"1137","123","2018","87000"
"1138","125","2018","56000"
"1139","126","2018","59400"
"1140","127","2018","650000"
"1141","128","2018","768000"
"1142","129","2018","4202000"
"1143","131","2018","75000"
"1144","132","2018","192000"
"1145","133","2018","7469000"
"1146","134","2018","315000"
"1147","135","2018","42000"
"1148","136","2018","1116000"
"1149","137","2018","5500"
"1150","138","2018","457000"
"1151","139","2018","24000"
"1152","140","2018","422000"
"1153","142","2018","20241000"
"1154","143","2018","17600"
"1155","144","2018","32000"
"1156","145","2018","233000"
"1157","146","2018","165000"
"1158","147","2018","136000"
"1159","148","2018","17700"
"1160","149","2018","2602000"
"1161","150","2018","323000"
"1162","151","2018","194000"
"1163","152","2018","272000"
"1164","154","2018","363000"
"1165","155","2018","6574000"
"1166","156","2018","86000"
"1167","157","2018","1475000"
"1168","158","2018","281000"
"1169","159","2018","35000"
"1170","160","2018","656000"
"1171","161","2018","2200"
"1172","130","2018","147000"
"1173","163","2018","669000"
"1174","164","2018","2880000"
"1175","165","2018","279000"
"1176","166","2018","378000"
"1177","167","2018","53000"
"1178","168","2018","220000"
"1179","169","2018","345000"
"1180","170","2018","42000"
"1181","171","2018","438000"
"1182","172","2018","479000"
"1183","173","2018","1760000"
"1184","175","2018","19215000"
"1185","176","2018","9511000"
"1186","177","2018","3131000"
"1187","178","2018","309000"
"1188","182","2018","304000"
"1189","179","2018","2757000"
"1190","180","2018","19457000"
"1191","181","2018","104000"
"1192","26","2018","10000"
"1193","185","2018","79000"
"1194","186","2018","231000"
"1195","189","2018","60000"
"1196","190","2018","68000"
"1197","191","2018","28000"
"1198","192","2018","6200"
"1199","193","2018","3325000"
"1200","194","2018","280000"
"1201","195","2018","312000"
"1202","195","2018","228000"
"1203","196","2018","121000"
"1204","197","2018","13800"
"1205","198","2018","6070000"
"1206","26","2018","8800"
"1207","199","2018","460000"
"1208","200","2018","903000"
"1209","201","2018","732000"
"1210","202","2018","11800"
"1211","204","2018","4488000"
"1212","207","2018","32971000"
"1213","208","2018","403000"
"1214","209","2018","29000"
"1215","210","2018","43000"
"1216","213","2018","2310000"
"1217","214","2018","6946000"
"1218","215","2018","815000"
"1219","217","2018","1600"
"1220","218","2018","285000"
"1221","219","2018","6952000"
"1222","221","2018","53000"
"1223","223","2018","29000"
"1224","224","2018","260000"
"1225","225","2018","4120000"
"1226","226","2018","7083000"
"1227","227","2018","218000"
