"id_meteo","id_pays","annee","automne_tavg","hiver_tavg","printemps_tavg","ete_tavg","automne_tmax","hiver_tmax","printemps_tmax","ete_tmax","automne_tmin","hiver_tmin","printemps_tmin","ete_tmin"
"73","100","2018","3.88132","0.82","5.78043","9.82609","6.35165","3.77667","8.89457","12.975","1.27582","-2.09333","3.25543","7.26413"
"74","101","2018","23.3769","17.8344","32.2609","31.5098","30.6396","26.9478","40.7659","36.3824","15.9077","10.7067","25.2281","27.7901"
"75","102","2018","28.6703","27.3856","28.7522","28.2033","32.4429","30.586","32.4393","32.009","25.7703","24.6689","25.8453","24.8716"
"76","104","2018","20.756","13.515","26.5574","34.7198","26.0978","19.4433","32.9685","41.9457","15.8967","8.08833","19.5426","27.0272"
"77","105","2018","8.83517","4.88","10.6011","15.5413","12.5","8.19556","15.663","21.0609","5.77033","1.89667","7.06848","11.4641"
"78","106","2018","9.77363","5.52333","10.3418","15.1587","11.422","7.29222","12.9813","17.9217","7.83626","3.75444","7.7","12.4946"
"79","107","2018","20.844","14.9111","22.788","27.7652","26.078","20.4889","28.3076","32.1011","15.9187","9.85333","17.3674","23.4163"
"80","108","2018","15.5231","9.68111","18.2467","24.8935","20.0604","13.6352","23.5556","30.7663","11.3758","5.60778","13.5","19.8533"
"81","109","2018","27.5703","26.38","27.7478","29.2359","31.6989","30.7022","31.262","32.8859","23.8319","22.0711","24.212","25.5489"
"82","110","2018","14.8923","6.10222","18.0033","26.525","18.6473","10.7722","22.7044","30.8446","11.8637","2.06067","13.7236","23.3793"
"83","111","2018","11.3725","6.92778","12.3648","17.9207","13.5187","8.79889","15.4681","21.3054","9.2956","4.97556","9.70879","14.7576"
"84","113","2018","-0.921978","-16.0633","10.088","19.1783","4.08791","-8.97865","15.91","25.3609","-3.47912","-20.8057","4.55955","13.825"
"85","115","2018","28.767","27.9589","28.4152","28.4033","31.5882","30.4519","30.942","30.911","25.8465","24.6828","25.5933","24.8424"
"86","118","2018","24.2538","17.23","30.8033","39.2467","30.178","24.2966","37.1123","46.4717","18.4879","10.3727","24.2012","31.2837"
"87","119","2018","4.47875","-3.80341","16.2446","23.3893","10.3625","1.27045","23.2627","30.9214","-0.7375","-8.18409","9.37108","15.6595"
"88","120","2018","27.4352","25.2222","28.8076","28.3522","32.8846","30.2897","34.2557","32.3455","22.6088","18.8647","24.519","25.2812"
"89","121","2018","5.15055","-0.909091","0","19.5242","7.53407","-0.0363636","0","23.9129","2.97143","-1.69091","0","15.6274"
"90","122","2018","21.8319","16.0278","22.8065","27.8522","24.6066","18.9803","26.4288","30.1935","19.3044","13.6662","19.3712","26.0377"
"91","125","2018","20.2527","13.3273","0","29.0419","24.1264","17.2091","0","32.9887","17.1308","10.2","0","25.3597"
"92","126","2018","9.86813","4.59091","0","20.7419","12.8121","6.38182","0","25.4565","7.39341","2.76364","0","16.3226"
"93","127","2018","4.52308","-3.22889","13.4717","19.0239","7.98681","-0.461111","19.2543","24.337","1.75604","-5.80111","7.77143","14.3326"
"94","128","2018","8.72747","3.93889","14.4261","19.8098","14.0945","7.18","21.0315","27.6587","3.19451","0.0955556","6.91739","11.3359"
"95","129","2018","23.5462","16.8244","25.7924","29.0957","26.1516","19.7956","28.8707","31.4793","20.5901","14.2022","23.1348","26.1935"
"96","130","2018","11.7615","5.96966","19.0489","24.6901","17.9286","10.8364","26.4022","31.6209","6.67582","1.86395","13.022","18.6286"
"97","134","2018","28.1209","28.3356","28.9457","28.6793","30.2099","30.4333","31.1704","30.6181","25.6363","25.8862","26.25","26.2747"
"98","135","2018","28.9758","29.2222","33.1435","28.2087","36.6352","36.9379","39.9908","33.0908","21.2319","21.5729","26.1356","24.1281"
"99","136","2018","19.2791","13.8433","19.1587","26.4685","22.4473","16.9978","23.5176","31.0791","16.3505","10.8129","15.783","22.66"
"100","137","2018","0","0","0","0","30.1879","29.33","29.7304","29.9609","26.3846","25.6133","25.5696","25.5946"
"101","138","2018","26.4352","25.1678","26.2149","27.2196","29.9242","28.4533","29.4598","30.3913","23.4813","22.4333","23.5747","24.225"
"102","139","2018","26.1374","21.8733","0","27.8629","32.7088","29.8786","0","31.121","21.5099","15.3462","0","25.479"
"103","140","2018","24.8451","27.0533","25.1511","22.5359","28.1407","30.05","28.1708","25.5231","21.5615","24.0864","22.0236","19.5396"
"104","141","2018","27.1242","27.4544","27.362","25.3087","30.6886","30.6131","30.8395","28.8636","24.2416","24.7659","24.3915","21.9094"
"105","143","2018","27.3022","27.5091","0","26.8903","31.0604","29.3911","30.4402","30.8652","24.0868","24.8156","24.45","23.5587"
"106","144","2018","6.66264","0.14","16.8902","22.5152","11.2132","3.08333","22.8717","28.3011","2.36813","-2.85111","10.2956","16.5054"
"107","145","2018","14.2626","9.41889","17.0054","24.4533","17.7132","13.0833","19.8451","28.7065","11.4033","6.39663","14.0391","20.1304"
"108","147","2018","14.8978","8.34111","21.2761","27.675","18.8956","11.0185","28.0769","32.1947","9.66923","4.13425","14.9951","21.1506"
"109","149","2018","17.089","12.4256","16.4","22.2337","22.1736","17.1356","20.4869","26.5341","12.3978","8.01494","11.5683","17.536"
"110","150","2018","24.1901","26.2078","22.9747","21.1739","30.6242","31.9542","30.2375","28.4732","18.833","21.8286","17.6358","15.3581"
"111","153","2018","28.067","27.8091","0","27.5516","28.6308","28.3182","0","28.0935","27.4626","27.2636","0","26.9758"
"112","155","2018","8.88461","3.58667","13.5725","18.2902","11.8747","6.25222","17.8451","22.7467","5.98571","0.784444","9.36044","13.7174"
"114","156","2018","23.7121","25.8636","0","20.0871","27.2022","28.1182","0","23.9581","20.2769","23.6091","0","16.3435"
"115","157","2018","13.9176","18.5322","13.411","10.6043","16.6253","21.7156","15.7604","12.9857","11.5222","15.9685","10.9385","7.98587"
"116","158","2018","26.6505","26.8589","28.2424","27.5641","31.5659","32.4211","33.3815","32.65","22.1681","21.7789","23.9185","23.819"
"117","159","2018","30.5813","28.5533","35.2152","30.2446","37.9176","36.1888","41.8636","35.3011","24.0231","20.9115","28.6267","25.5708"
"118","161","2018","24.3171","25.7633","24.1531","22.6185","27.4317","29.4","27.4551","25.8481","21.3829","22.3667","21.3327","19.6815"
"119","162","2018","18.9462","22.8067","19.9457","16.6609","21.3289","25.0898","22.1584","19.025","16.7256","20.8318","17.9854","14.3793"
"120","116","2018","6.77033","-3.59111","15.3109","24.7272","11.8857","-2.3","21.45","29.7561","2.46374","-9.04035","9.84839","20.665"
"121","163","2018","27.88","27.2565","28.0781","28.1821","30.3253","30.6767","30.9143","30.5913","25.506","24.7111","25.2527","25.4902"
"122","164","2018","4.59121","-2.83222","11.4","18.1609","7.4956","-0.337778","17.2761","23.7304","1.74945","-5.15","6.14891","13.2033"
"123","165","2018","27.2549","22.3378","32.8217","32.2924","31.4527","26.1556","37.4457","36.5902","23.2198","18.0944","28.2761","29.2652"
"124","167","2018","27.2875","26.9694","27.097","27.0273","31.6241","31.7682","31.3543","30.135","25.0057","24.9466","25.3326","25.1183"
"125","168","2018","16.4352","8.90909","0","24.3742","21.3429","12.5909","0","30.4742","12.2484","6.1","0","18.5403"
"126","169","2018","26.1703","26.6346","26.6875","26.4876","29.9956","32.3926","31.2625","30.6764","23.0264","21.5778","23.05","23.3843"
"127","170","2018","27.4022","27.6308","0","25.5","32.1615","32.2923","0","29.6258","23.611","23.8","0","22.7145"
"128","171","2018","25.6901","27.1767","21.8913","18.1054","32.6055","33.5359","28.6641","25.7149","20.8143","22.7158","16.9165","12.618"
"129","172","2018","19.0253","22.0878","18.9511","16.5011","21.9352","26.2476","22.6778","18.8556","17.0484","19.6124","16.8433","15.1231"
"130","173","2018","28.3637","27.1433","29.1957","27.6576","31.7703","30.4856","32.7739","30.4522","25.3253","24.1933","25.7462","25.0543"
"131","174","2018","22.0604","23.9091","0","21.1175","22.6066","24.4091","0","21.7365","21.4736","23.4455","0","20.4667"
"132","175","2018","6.62198","-0.0188889","16.0261","20.6511","10.3187","2.52222","21.3758","25.7043","3.08022","-2.84333","9.94889","15.4065"
"133","176","2018","16.8868","12.1022","16.463","22.9554","20.678","15.2889","20.5935","27.8739","13.4681","9.19333","12.9989","18.8685"
"134","177","2018","26.5868","25.03","26.2554","27.6359","29.9176","28.26","29.6924","30.7826","23.9286","22.3067","23.562","25.0565"
"135","178","2018","27.4978","20.47","31.3435","36.3141","31.2505","25.18","36.4099","41.4739","24.611","16.7311","26.7934","32.2272"
